sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,1,2,1,0
parallel,1,2,1,0
simd,1,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0.000993
simd,2,2,1,0.000999
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0.00101
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0.000999
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,2,2,1,0
parallel,2,2,1,0
simd,2,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0.001003
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0.000998
sequential,4,2,1,0
parallel,4,2,1,0.001002
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0.001009
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,4,2,1,0
parallel,4,2,1,0
simd,4,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0.000991
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0.001
sequential,6,2,1,0
parallel,6,2,1,0
simd,6,2,1,0
sequential,6,2,1,0
parallel,6,2,1,0.00101
simd,6,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0.001003
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0.000999
sequential,8,2,1,0
parallel,8,2,1,0.000995
simd,8,2,1,0.011009
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0
simd,8,2,1,0
sequential,8,2,1,0
parallel,8,2,1,0.000998
simd,8,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0.00103
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0.001025
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0.000992
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0.001001
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0
simd,12,2,1,0
sequential,12,2,1,0
parallel,12,2,1,0.001001
simd,12,2,1,0
sequential,24,2,1,0
parallel,24,2,1,0
simd,24,2,1,0
sequential,24,2,1,0
parallel,24,2,1,0.001026
simd,24,2,1,0.000999
sequential,24,2,1,0.000655
parallel,24,2,1,0
simd,24,2,1,0
sequential,24,2,1,0
parallel,24,2,1,0
simd,24,2,1,0.001003
sequential,24,2,1,0
parallel,24,2,1,0
simd,24,2,1,0.001002
sequential,24,2,1,0
parallel,24,2,1,0
