reduce,1,1000000.0,0.001091
divided,1,1000000.0,0.000955
reduce,1,1000000.0,0.000939
divided,1,1000000.0,0.000990
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.000984
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.001099
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.000940
reduce,1,1000000.0,0.000994
divided,1,1000000.0,0.000939
reduce,1,1000000.0,0.000934
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000966
divided,1,1000000.0,0.000986
reduce,1,1000000.0,0.000939
divided,1,1000000.0,0.000942
reduce,1,1000000.0,0.000937
divided,1,1000000.0,0.000939
reduce,1,1000000.0,0.000934
divided,1,1000000.0,0.000974
reduce,1,1000000.0,0.000944
divided,1,1000000.0,0.000940
reduce,1,1000000.0,0.000943
divided,1,1000000.0,0.000938
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.000938
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.000936
reduce,1,1000000.0,0.000934
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.000970
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.001073
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.000939
reduce,1,1000000.0,0.000936
divided,1,1000000.0,0.000939
reduce,1,1000000.0,0.000935
divided,1,1000000.0,0.000950
reduce,1,1000000.0,0.000937
divided,1,1000000.0,0.000941
reduce,1,1000000.0,0.001004
divided,1,1000000.0,0.000938
reduce,1,1000000.0,0.000979
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.001009
divided,1,1000000.0,0.000936
reduce,1,1000000.0,0.000978
divided,1,1000000.0,0.000938
reduce,1,1000000.0,0.000977
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000996
divided,1,1000000.0,0.000937
reduce,1,1000000.0,0.000978
divided,1,1000000.0,0.000937
